week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank
1,Florida,24,8,Miami (Fla.),20,
1,Hawaii,45,,Arizona,38,
1,Buffalo,38,,Robert Morris,10,
1,Cincinnati,24,,UCLA,14,
1,Bowling Green,46,,Morgan State,3,
1,UConn,24,,Wagner,21,
1,Charlotte,49,,Gardner-Webb,28,
1,Central Ark.,35,,Western Ky.,28,
1,UCF,62,17,Florida A&M,0,
1,Tulane,42,,FIU,14,
1,UAB,24,,Alabama State,19,
1,Central Mich.,38,,Albany,21,
1,Clemson,52,1,Georgia Tech,14,
1,Texas A&M,41,12,Texas State,7,
1,Minnesota,28,,South Dakota St.,21,
1,Arizona St.,30,,Kent State,7,
1,San Jose State,35,,Northern Colo.,18,
1,Utah,30,14,BYU,12,
1,Army West Point,14,,Rice,7,
1,Mich. St. ,28,18,Tulsa,7,
1,Wisconsin,49,19,South Florida,0,
1,Rutgers,48,,Massachusetts,21,
1,Wake Forest,38,,Utah State,35,
1,Nevada,34,,Purdue,31,
1,Colorado,52,,Colorado State,31,
1,Oklahoma State,52,,Oregon St.,36,
1,NC State,34,,East Carolina,6,
1,Kansas,24,,Indiana State,17,
1,Memphis,15,,Ole Miss,10,
1,Mississippi St.,38,,Louisiana,28,
1,Indiana,34,,Ball State,24,
1,Iowa State,29,21,UNI,26,
1,Boise State,36,,Florida State,31,
1,Ohio St. ,45,5,Florida Atlantic,21,
1,Maryland,79,,Howard,0,
1,Nebraska,35,24,South Alabama,21,
1,Illinois,42,,Akron,3,
1,Kentucky,38,,Toledo,24,
1,Ohio,41,,Rhode Island,20,
1,West Virginia,20,,James Madison,13,
1,Temple,56,,Bucknell,12,
1,Washington,47,13,Eastern Wash.,14,
1,Eastern Mich.,30,,Coastal Carolina,23,
1,North Carolina,24,,South Carolina,20,
1,Navy,45,,Holy Cross,7,
1,Alabama,42,2,Duke,3,
1,Penn St.,79,15,Idaho,7,
1,Georgia State,38,,Tennessee,30,
1,Air Force,48,,Colgate,7,
1,Appalachian St.,42,,ETSU,7,
1,Arkansas,20,,Portland State,13,
1,Boston College,35,,Virginia Tech,28,
1,Stanford,17,25,Northwestern,7,
1,Texas Tech,45,,Montana St.,10,
1,UTSA,35,,UIW,7,
1,Troy,43,,Campbell,14,
1,New Mexico,39,,Sam Houston St.,31,
1,Syracuse,24,22,Liberty,0,
1,Marshall,56,,VMI,17,
1,California,27,,UC Davis,13,
1,Northern Ill.,24,,Illinois State,10,
1,Old Dominion,24,,Norfolk State,21,
1,Western Mich.,48,,Monmouth,13,
1,Kansas St.,49,,Nicholls State,14,
1,Southern Miss,38,,Alcorn State,10,
1,SMU,37,,Arkansas State,30,
1,Baylor,56,,SFA,17,
1,Virginia,30,,Pittsburgh,14,
1,Wyoming,37,,Missouri,31,
1,Georgia,30,3,Vanderbilt,6,
1,LSU,55,6,Ga. Southern,3,
1,Michigan,40,7,Middle Tenn.,21,
1,North Texas,51,,Abilene Christian,31,
1,Auburn,27,16,Oregon,21,11
1,Iowa,38,20,Miami (Ohio),14,
1,TCU,39,,Ark.-Pine Bluff,7,
1,La.-Monroe,31,,Grambling,9,
1,Texas,45,10,Louisiana Tech,14,
1,UTEP,36,,Houston Baptist,34,
1,San Diego State,6,,Weber State,0,
1,Washington St.,58,23,New Mexico St.,7,
1,UNLV,56,,Southern Utah,23,
1,USC,31,,Fresno State,23,
1,Oklahoma,49,4,Houston,31,
1,Notre Dame,35,9,Louisville,17,
2,Virginia,52,,William & Mary,17,
2,Wake Forest,41,,Rice,21,
2,Boise State,14,24,Marshall,7,
2,Arizona St.,19,,Sacramento St.,7,
2,Pittsburgh,20,,Ohio,10,
2,Virginia Tech,31,,Old Dominion,17,
2,Iowa,30,20,Rutgers,0,
2,Kansas St.,52,,Bowling Green,0,
2,Missouri,38,,West Virginia,7,
2,Maryland,63,,Syracuse,20,21
2,Purdue,42,,Vanderbilt,24,
2,UAB,31,,Akron,20,
2,Kent State,26,,Kennesaw State,23,
2,South Carolina,72,,Charleston So.,10,
2,Ohio St. ,42,5,Cincinnati,0,
2,Michigan,24,7,Army West Point,21,
2,Memphis,55,,Southern Univ.,24,
2,NC State,41,,Western Caro.,0,
2,Utah,35,13,Northern Ill.,17,
2,Georgia Tech,14,,South Florida,10,
2,Ball State,57,,Fordham,29,
2,Miami (Ohio),48,,Tennessee Tech,17,
2,Mississippi St.,38,,Southern Miss,15,
2,Appalachian St.,56,,Charlotte,41,
2,Clemson,24,1,Texas A&M,10,12
2,Boston College,45,,Richmond,13,
2,Indiana,52,,Eastern Illinois,0,
2,Southern Ill.,45,,Massachusetts,20,
2,Colorado,34,,Nebraska,31,25
2,Wisconsin,61,17,Central Mich.,0,
2,Louisiana Tech,20,,Grambling,14,
2,Illinois,31,,UConn,23,
2,Baylor,63,,UTSA,14,
2,Colorado State,38,,Western Illinois,13,
2,Georgia,63,3,Murray State,17,
2,Alabama,62,2,New Mexico St.,10,
2,San Diego State,23,,UCLA,14,
2,Washington St.,59,22,Northern Colo.,17,
2,Florida State,45,,La.-Monroe,44,
2,Ga. Southern,26,,Maine,18,
2,East Carolina,48,,Gardner-Webb,9,
2,Duke,45,,N.C. A&T,13,
2,Coastal Carolina,12,,Kansas,7,
2,Louisville,42,,Eastern Kentucky,0,
2,Western Ky.,20,,FIU,14,
2,Wyoming,23,,Texas State,14,
2,Oklahoma State,56,,McNeese ,14,
2,UCF,48,18,Florida Atlantic,14,
2,Georgia State,48,,Furman,42,
2,South Alabama,37,,Jackson State,14,
2,BYU,29,,Tennessee,26,
2,SMU,49,,North Texas,27,
2,Middle Tenn.,45,,Tennessee State,26,
2,Oklahoma,70,4,South Dakota,14,
2,Ole Miss,31,,Arkansas,17,
2,Kentucky,38,,Eastern Mich.,17,
2,Utah State,62,,Stony Brook,7,
2,Louisiana,35,,Liberty,14,
2,LSU,45,6,Texas,38,9
2,Mich. St. ,51,19,Western Mich.,17,
2,Oregon,77,16,Nevada,6,
2,Penn St.,45,15,Buffalo,13,
2,Auburn,24,10,Tulane,6,
2,Florida,45,11,UT Martin,0,
2,Texas Tech,38,,UTEP,3,
2,Houston,37,,Prairie View A&M,17,
2,North Carolina,28,,Miami (Fla.),25,
2,Tulsa,34,,San Jose State,16,
2,Arkansas State,43,,UNLV,17,
2,Minnesota,38,,Fresno State,35,
2,USC,45,,Stanford,20,23
2,California,20,,Washington,19,14
2,Arizona,65,,Northern Ariz.,41,
2,Hawaii,31,,Oregon St.,28,
3,Wake Forest,24,,North Carolina,18,
3,Kansas,48,,Boston College,24,
3,Washington St.,31,20,Houston,24,
3,West Virginia,44,,NC State,27,
3,Kansas St.,31,,Mississippi St.,24,
3,Eastern Mich.,34,,Illinois,31,
3,Penn St.,17,13,Pittsburgh,10,
3,Virginia Tech,24,,Furman,17,
3,Tennessee,45,,Chattanooga,0,
3,Ohio St. ,51,6,Indiana,10,
3,Temple,20,,Maryland,17,21
3,Cincinnati,35,,Miami (Ohio),13,
3,Georgia,55,3,Arkansas State,0,
3,The Citadel,27,,Georgia Tech,24,
3,Air Force,30,,Colorado,23,
3,Florida Atlantic,41,,Ball State,31,
3,Coastal Carolina,46,,Norfolk State,7,
3,Notre Dame,66,7,New Mexico,14,
3,Central Mich.,45,,Akron,24,
3,Navy,42,,East Carolina,10,
3,BYU,30,,USC,27,24
3,Alabama,47,2,South Carolina,23,
3,Memphis,42,,South Alabama,6,
3,Oklahoma State,40,,Tulsa,21,
3,Minnesota,35,,Ga. Southern,32,
3,Northwestern,30,,UNLV,14,
3,Army West Point,31,,UTSA,13,
3,UCF,45,17,Stanford,27,
3,Miami (Fla.),63,,Bethune-Cookman,0,
3,Louisville,38,,Western Ky.,21,
3,Ole Miss,40,,Southeastern La.,29,
3,Iowa,18,19,Iowa State,17,
3,Arkansas,55,,Colorado State,34,
3,Arizona St.,10,,Mich. St. ,7,18
3,California,23,,North Texas,17,
3,Oregon St.,45,,Cal Poly,7,
3,Utah,31,11,Idaho State,0,
3,Wyoming,21,,Idaho,16,
3,Louisiana Tech,35,,Bowling Green,7,
3,Southern Miss,47,,Troy,42,
3,Charlotte,52,,Massachusetts,17,
3,South Florida,55,,S. Carolina St.,16,
3,Liberty,35,,Buffalo,17,
3,Marshall,33,,Ohio,31,
3,Auburn,55,8,Kent State,16,
3,Toledo,45,,Murray State,0,
3,Western Mich.,57,,Georgia State,10,
3,Florida,29,9,Kentucky,21,
3,Texas A&M,62,16,Lamar University,3,
3,SMU,47,,Texas State,17,
3,FIU,30,,New Hampshire,17,
3,Duke,41,,Middle Tenn.,18,
3,Nevada,19,,Weber State,13,
3,LSU,65,4,N'western St.,14,
3,Louisiana,77,,Texas Southern,6,
3,Missouri,50,,Southeast Mo. St.,0,
3,Clemson,41,1,Syracuse,6,
3,TCU,34,,Purdue,13,
3,Washington,52,23,Hawaii,20,
3,Virginia,31,25,Florida State,24,
3,Texas,48,12,Rice,13,
3,Oklahoma,48,5,UCLA,14,
3,Nebraska,44,,Northern Ill.,8,
3,San Diego State,31,,New Mexico St.,10,
3,Tulane,58,,Missouri State,6,
3,Boise State,45,22,Portland State,10,
3,Arizona,28,,Texas Tech,14,
3,Oregon,35,15,Montana,3,
4,Tulane,38,,Houston,31,
4,Louisiana Tech,43,,FIU,31,
4,USC,30,,Utah,23,10
4,Boise State,30,20,Air Force,19,
4,Army West Point,52,,Morgan State,21,
4,Florida,34,9,Tennessee,3,
4,Iowa State,72,,La.-Monroe,20,
4,Alabama,49,2,Southern Miss,7,
4,Wake Forest,49,,Elon,7,
4,Boston College,30,,Rutgers,16,
4,LSU,66,4,Vanderbilt,38,
4,Wisconsin,35,13,Michigan,14,11
4,California,28,23,Ole Miss,20,
4,Indiana,38,,UConn,3,
4,Syracuse,52,,Western Mich.,33,
4,Mich. St. ,31,,Northwestern,10,
4,Coastal Carolina,62,,Massachusetts,28,
4,Louisiana,45,,Ohio,25,
4,Eastern Mich.,34,,Cent. Conn. St.,29,
4,Troy,35,,Akron,7,
4,SMU,41,,TCU,38,25
4,Tulsa,24,,Wyoming,21,
4,Ohio St. ,76,6,Miami (Ohio),5,
4,Pittsburgh,35,,UCF,34,15
4,Washington,45,22,BYU,19,
4,Auburn,28,8,Texas A&M,20,17
4,Kent State,62,,Bowling Green,20,
4,Florida State,35,,Louisville,24,
4,Buffalo,38,,Temple,22,
4,Appalachian St.,34,,North Carolina,31,
4,UAB,35,,South Alabama,3,
4,Missouri,34,,South Carolina,14,
4,Miami (Fla.),17,,Central Mich.,12,
4,Mississippi St.,28,,Kentucky,13,
4,New Mexico,55,,New Mexico St.,52,
4,West Virginia,29,,Kansas,24,
4,Liberty,62,,Hampton,27,
4,East Carolina,19,,William & Mary,7,
4,Florida Atlantic,42,,Wagner,7,
4,NC State,34,,Ball State,23,
4,Oregon,21,16,Stanford,6,
4,Arkansas State,41,,Southern Ill.,28,
4,Virginia,28,21,Old Dominion,17,
4,Baylor,21,,Rice,13,
4,Texas State,37,,Georgia State,34,
4,North Texas,45,,UTSA,3,
4,Clemson,52,1,Charlotte,10,
4,Texas,36,12,Oklahoma State,30,
4,San Jose State,31,,Arkansas,24,
4,Nebraska,42,,Illinois,38,
4,Georgia,23,3,Notre Dame,17,7
4,Nevada,37,,UTEP,21,
4,Colorado,34,,Arizona St.,31,24
4,Fresno State,34,,Sacramento St.,20,
4,Toledo,41,,Colorado State,35,
4,Utah State,23,,San Diego State,17,
4,UCLA,67,,Washington St.,63,19
4,Hawaii,35,,Central Ark.,16,
5,Memphis,35,,Navy,23,
5,Duke,45,,Virginia Tech,10,
5,Penn St.,59,12,Maryland,0,
5,Air Force,41,,San Jose State,24,
5,Arizona St.,24,,California,17,15
5,Wisconsin,24,8,Northwestern,15,
5,Miami (Ohio),34,,Buffalo,20,
5,Michigan,52,20,Rutgers,0,
5,Toledo,28,,BYU,21,
5,Iowa,48,14,Middle Tenn.,3,
5,Oklahoma,55,6,Texas Tech,16,
5,Syracuse,41,,Holy Cross,3,
5,Vanderbilt,24,,Northern Ill.,18,
5,Western Mich.,31,,Central Mich.,15,
5,TCU,51,,Kansas,14,
5,Texas A&M,31,23,Arkansas,27,
5,Pittsburgh,17,,Delaware,14,
5,Baylor,23,,Iowa State,21,
5,Temple,24,,Georgia Tech,2,
5,Florida Atlantic,45,,Charlotte,27,
5,Mich. St. ,40,25,Indiana,31,
5,Minnesota,38,,Purdue,31,
5,Appalachian St.,56,,Coastal Carolina,37,
5,Notre Dame,35,10,Virginia,20,18
5,Alabama,59,2,Ole Miss,31,
5,Wake Forest,27,,Boston College,24,
5,Clemson,21,1,North Carolina,20,
5,Washington,28,17,USC,14,21
5,Massachusetts,37,,Akron,29,
5,SMU,48,,South Florida,21,
5,Florida,38,9,Towson,0,
5,Cincinnati,52,,Marshall,14,
5,Arkansas State,50,,Troy,43,
5,Liberty,17,,New Mexico,10,
5,Louisiana,37,,Ga. Southern,24,
5,East Carolina,24,,Old Dominion,21,
5,Texas State,24,,Nicholls State,3,
5,Southern Miss,31,,UTEP,13,
5,UCF,56,22,UConn,21,
5,Oklahoma State,26,,Kansas St.,13,24
5,Louisiana Tech,23,,Rice,20,
5,Western Ky.,20,,UAB,13,
5,Stanford,31,,Oregon St.,28,
5,La.-Monroe,30,,South Alabama,17,
5,Auburn,56,7,Mississippi St.,23,
5,Ohio St. ,48,5,Nebraska,7,
5,South Carolina,24,,Kentucky,7,
5,Utah State,34,,Colorado State,24,
5,Florida State,31,,NC State,13,
5,Fresno State,30,,New Mexico St.,17,
5,Houston,46,,North Texas,25,
5,Wyoming,53,,UNLV,17,
5,Utah,38,19,Washington St.,13,
5,Hawaii,54,,Nevada,3,
5,Arizona,20,,UCLA,17,
6,Ga. Southern,20,,South Alabama,17,
6,Temple,27,,East Carolina,17,
6,Cincinnati,27,,UCF,24,18
6,San Jose State,32,,New Mexico,21,
6,Oklahoma,45,6,Kansas,20,
6,Wisconsin,48,8,Kent State,0,
6,Michigan,10,19,Iowa,3,14
6,LSU,42,5,Utah State,6,
6,Texas Tech,45,,Oklahoma State,35,21
6,South Florida,48,,UConn,22,
6,Maryland,48,,Rutgers,7,
6,Tulane,42,,Army West Point,33,
6,Penn St.,35,12,Purdue,7,
6,Louisville,41,,Boston College,39,
6,Iowa State,49,,TCU,24,
6,Central Mich.,42,,Eastern Mich.,16,
6,Ohio,21,,Buffalo,20,
6,Georgia State,52,,Arkansas State,38,
6,Baylor,31,,Kansas St.,12,
6,Ball State,27,,Northern Ill.,20,
6,Navy,34,,Air Force,25,
6,Toledo,31,,Western Mich.,24,
6,Florida,24,10,Auburn,13,7
6,Texas,42,11,West Virginia,31,
6,Notre Dame,52,9,Bowling Green,0,
6,Minnesota,40,,Illinois,17,
6,Middle Tenn.,24,,Marshall,13,
6,Virginia Tech,42,,Miami (Fla.),35,
6,Memphis,52,,La.-Monroe,33,
6,North Carolina,38,,Georgia Tech,22,
6,Nebraska,13,,Northwestern,10,
6,Missouri,42,,Troy,10,
6,Arizona,35,,Colorado,30,
6,Western Ky.,20,,Old Dominion,3,
6,FIU,44,,Massachusetts,0,
6,UAB,35,,Rice,20,
6,Georgia,43,3,Tennessee,14,
6,Ole Miss,31,,Vanderbilt,6,
6,Ohio St. ,34,4,Mich. St. ,10,25
6,SMU,43,24,Tulsa,37,
6,Pittsburgh,33,,Duke,30,
6,UTSA,26,,UTEP,16,
6,Oregon,17,13,California,7,
6,Liberty,20,,New Mexico St.,13,
6,Oregon St.,48,,UCLA,31,
6,San Diego State,24,,Colorado State,10,
6,Boise State,38,16,UNLV,13,
6,Stanford,23,,Washington,13,15
7,Appalachian St.,17,,Louisiana,7,
7,NC State,16,,Syracuse,10,
7,La.-Monroe,24,,Texas State,14,
7,Colorado State,35,,New Mexico,21,
7,Miami (Fla.),17,,Virginia,9,20
7,Oregon,45,13,Colorado,3,
7,South Carolina,20,,Georgia,17,3
7,Western Mich.,38,,Miami (Ohio),16,
7,Oklahoma,34,6,Texas,27,11
7,Michigan,42,16,Illinois,25,
7,Bowling Green,20,,Toledo,7,
7,Tennessee,20,,Mississippi St.,10,
7,Temple,30,,Memphis,28,23
7,Indiana,35,,Rutgers,0,
7,Purdue,40,,Maryland,14,
7,Duke,41,,Georgia Tech,23,
7,Ball State,29,,Eastern Mich.,23,
7,Marshall,31,,Old Dominion,17,
7,Central Mich.,42,,New Mexico St.,28,
7,South Florida,27,,BYU,23,
7,Clemson,45,2,Florida State,14,
7,Northern Ill.,39,,Ohio,36,
7,Cincinnati,38,25,Houston,23,
7,Wisconsin,38,8,Mich. St. ,0,
7,Alabama,47,1,Texas A&M,28,24
7,Arizona St.,38,18,Washington St.,34,
7,Kent State,26,,Akron,3,
7,Tulane,49,,UConn,7,
7,Baylor,33,22,Texas Tech,30,
